consent_resp.keys,consent_resp.rt,participant,session,Age,date,expName,psychopyVersion,OS,frameRate,overview_resp.keys,overview_resp.rt,Pracstudy_resp.keys,Pracstudy_resp.rt,IndoorOutdoor_resp.keys,IndoorOutdoor_resp.corr,IndoorOutdoor_resp.rt,pracstudy_loop.thisRepN,pracstudy_loop.thisTrialN,pracstudy_loop.thisN,pracstudy_loop.thisIndex,pracstudy_loop.ran,scene_pracstudy,scene_pracstudy_corr,probe,phase,practest_instruct_resp.keys,practest_instruct_resp.rt,practest_instruct_loop.thisRepN,practest_instruct_loop.thisTrialN,practest_instruct_loop.thisN,practest_instruct_loop.thisIndex,practest_instruct_loop.ran,Practest_instruct_resp2.keys,Practest_instruct_resp2.rt,OldNew_resp.keys,OldNew_resp.corr,OldNew_resp.rt,PracTest_RK_resp.keys,practest_loop.thisRepN,practest_loop.thisTrialN,practest_loop.thisN,practest_loop.thisIndex,practest_loop.ran,scene_practest,scene_practest_corr,PracTest_RK_resp.rt,PracEnd_resp.keys,PracEnd_resp.rt,StartExp_resp.keys,StartExp_resp.rt,StudyInstruct_resp.keys,StudyInstruct_resp.rt,Study_IndoorOutdoor_resp.keys,Study_IndoorOutdoor_resp.corr,Study_IndoorOutdoor_resp.rt,study_loop.thisRepN,study_loop.thisTrialN,study_loop.thisN,study_loop.thisIndex,study_loop.ran,scene_study,scene_study_corr,block,studyscene_number,TestInstruct_resp.keys,TestInstruct_resp.rt,Test_OldNew_resp.keys,Test_OldNew_resp.corr,Test_OldNew_resp.rt,Test_RK_resp.keys,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran,scene_test,scene_test_corr,testscene_number,Test_RK_resp.rt,End_Exp_resp.keys,End_Exp_resp.rt
,,841215,1,Young,2023-11-18_21h06.25.482,Scene_Recog_Nov10,2022.2.2,MacIntel,120.0048002,,,,,,,,,,,,,,,lure,practest,,,,,,,,,,b,0,2.1696,r,0,3,3,5,1,prac_stimuli/pracscene/bath_V2.jpg,n,3.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,841215,1,Young,2023-11-18_21h06.25.482,Scene_Recog_Nov10,2022.2.2,MacIntel,120.0048002,,,,,,,,,,,,,,,lure,practest,,,,,,,,,,b,0,1.5002,k,0,4,4,0,1,prac_stimuli/pracscene/africaslums_V1.jpg,n,0.5174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,841215,1,Young,2023-11-18_21h06.25.482,Scene_Recog_Nov10,2022.2.2,MacIntel,120.0048002,,,,,,,,,,,,,,,target,practest,,,,,,,,,,n,0,2.1614,,0,5,5,4,1,prac_stimuli/pracscene/basketballschool_V1.jpg,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,841215,1,Young,2023-11-18_21h06.25.482,Scene_Recog_Nov10,2022.2.2,MacIntel,120.0048002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.7372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,841215,1,Young,2023-11-18_21h06.25.482,Scene_Recog_Nov10,2022.2.2,MacIntel,120.0048002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,841215,1,Young,2023-11-18_21h06.25.482,Scene_Recog_Nov10,2022.2.2,MacIntel,120.0048002,,,,,,,,,,,,,,,lure,study,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.9537,o,1,0.9449,0,0,0,0,1,stimuli/scene/barn_V2.jpg,o,3,1,,,,,,,,,,,,,,,,,
,,841215,1,Young,2023-11-18_21h06.25.482,Scene_Recog_Nov10,2022.2.2,MacIntel,120.0048002,,,,,,,,,,,,,,,foil,study,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,1,0.6613,0,1,1,3,1,stimuli/scene/bridge_V2.jpg,o,3,4,,,,,,,,,,,,,,,,,
,,841215,1,Young,2023-11-18_21h06.25.482,Scene_Recog_Nov10,2022.2.2,MacIntel,120.0048002,,,,,,,,,,,,,,,target,study,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,1,0.8194,0,2,2,4,1,stimuli/scene/buffet_V2.jpg,i,3,5,,,,,,,,,,,,,,,,,
,,841215,1,Young,2023-11-18_21h06.25.482,Scene_Recog_Nov10,2022.2.2,MacIntel,120.0048002,,,,,,,,,,,,,,,lure,study,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,1,1.2485,0,3,3,5,1,stimuli/scene/butcher_V2.jpg,i,3,6,,,,,,,,,,,,,,,,,
,,841215,1,Young,2023-11-18_21h06.25.482,Scene_Recog_Nov10,2022.2.2,MacIntel,120.0048002,,,,,,,,,,,,,,,target,study,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,1,0.7475,0,4,4,1,1,stimuli/scene/beach_V1.jpg,o,3,2,,,,,,,,,,,,,,,,,
