consent_resp.keys,consent_resp.rt,participant,session,Age,date,expName,psychopyVersion,OS,frameRate,overview_resp.keys,overview_resp.rt,Pracstudy_resp.keys,Pracstudy_resp.rt,IndoorOutdoor_resp.keys,IndoorOutdoor_resp.corr,IndoorOutdoor_resp.rt,pracstudy_loop.thisRepN,pracstudy_loop.thisTrialN,pracstudy_loop.thisN,pracstudy_loop.thisIndex,pracstudy_loop.ran,scene_pracstudy,scene_pracstudy_corr,probe,phase,practest_instruct_resp.keys,practest_instruct_resp.rt,practest_instruct_loop.thisRepN,practest_instruct_loop.thisTrialN,practest_instruct_loop.thisN,practest_instruct_loop.thisIndex,practest_instruct_loop.ran,Practest_instruct_resp2.keys,Practest_instruct_resp2.rt,OldNew_resp.keys,OldNew_resp.corr,OldNew_resp.rt,PracTest_RK_resp.keys,practest_loop.thisRepN,practest_loop.thisTrialN,practest_loop.thisN,practest_loop.thisIndex,practest_loop.ran,scene_practest,scene_practest_corr,PracTest_RK_resp.rt,PracEnd_resp.keys,PracEnd_resp.rt,StartExp_resp.keys,StartExp_resp.rt,StudyInstruct_resp.keys,StudyInstruct_resp.rt,Study_IndoorOutdoor_resp.keys,Study_IndoorOutdoor_resp.corr,Study_IndoorOutdoor_resp.rt,study_loop.thisRepN,study_loop.thisTrialN,study_loop.thisN,study_loop.thisIndex,study_loop.ran,scene_study,scene_study_corr,block,studyscene_number,TestInstruct_resp.keys,TestInstruct_resp.rt,Test_OldNew_resp.keys,Test_OldNew_resp.corr,Test_OldNew_resp.rt,Test_RK_resp.keys,Test_RK_resp.rt,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran,scene_test,scene_test_corr,testscene_number,End_Exp_resp.keys,End_Exp_resp.rt
,,spiderman,1,Old,2023-11-18_21h03.37.033,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,,,right,0.621,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,spiderman,1,Old,2023-11-18_21h03.37.033,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,,,right,0.002,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,spiderman,1,Old,2023-11-18_21h03.37.033,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,,,right,0.001,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,spiderman,1,Old,2023-11-18_21h03.37.033,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,,,right,0.001,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,spiderman,1,Old,2023-11-18_21h03.37.033,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,,,right,0.002,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,spiderman,1,Old,2023-11-18_21h03.37.033,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,,,right,0.002,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,spiderman,1,Old,2023-11-18_21h03.37.033,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,,,,,,,,,,space,1.367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,spiderman,1,Old,2023-11-18_21h03.37.033,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,foil,practest,,,,,,,,,,n,1,2.32,,0,0,0,3,1,prac_stimuli/pracscene/bike_V1.jpg,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,spiderman,1,Old,2023-11-18_21h03.37.033,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,lure,practest,,,,,,,,,,b,0,1.65,r,0,1,1,5,1,prac_stimuli/pracscene/bath_V2.jpg,n,0.737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,spiderman,1,Old,2023-11-18_21h03.37.033,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,lure,practest,,,,,,,,,,n,1,0.906,,0,2,2,0,1,prac_stimuli/pracscene/africaslums_V1.jpg,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
